Date,Description,Amount,Type,Category
2023-03-01,Monthly Paycheck,3000.00,Income,Salary
2023-03-02,Supermarket Groceries,85.50,Expense,Food
2023-03-03,Apartment Rent,1200.00,Expense,Housing
2023-03-04,Internet Bill,65.00,Expense,Utilities
2023-03-05,Gas Station,45.30,Expense,Transportation
2023-03-06,Netflix Subscription,15.99,Expense,Entertainment
2023-03-07,Online Course Purchase,199.00,Expense,Education
2023-03-08,Restaurant Dinner,67.80,Expense,Food
2023-03-09,Phone Bill,45.00,Expense,Utilities
2023-03-10,New Laptop,899.00,Expense,Technology
2023-03-11,Public Transport,22.50,Expense,Transportation
2023-03-12,Medical Checkup,150.00,Expense,Healthcare
2023-03-13,Bookstore Purchase,35.00,Expense,Education
2023-03-14,Freelance Work Payment,500.00,Income,Freelance